Var1,Var2,Var3,Var4a,Var4b,Var4c,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Ex.KLD Dryer
CTM,09/06/2017,0,1,0,0,80.49,1.61,65.29,1.29,71.60,2.47,82.25,9.89,14.09,15.13
CTM,09/06/2017,0,0,0,1,80.12,13.13,66.21,9.06,71.97,3.18,78.17,13.42,13.77,15.13
CTM,09/06/2017,0,0,0,1,80.06,12.96,66.24,8.94,71.91,3.18,78.26,13.30,14.1,15.13
CTM,09/06/2017,0,0,0,1,79.99,16.22,66.25,12.13,71.88,3.15,78.04,13.26,14.08,15.13
CTM,09/06/2017,0,0,0,1,80.00,15.79,66.30,12.22,72.25,3.26,76.32,13.59,14.51,15.13
DS,20/04/2017,1,1,0,0,82.44,1.51,65.80,1.26,74.15,3.69,69.31,14.17,13.96,14.92
DS,20/04/2017,1,1,0,0,82.35,1.33,65.74,1.29,74.95,3.68,65.63,17.07,13.64,14.92
DS,20/04/2017,1,1,0,0,81.98,1.25,68.10,30.80,75.33,3.58,59.04,19.60,13.37,14.92
SFM,04/01/2018,1,1,0,0,79.54,1.32,65.58,1.45,64.26,4.90,61.02,15.20,13.21,14.04
TF,04/01/2018,1,1,0,0,79.54,1.32,65.58,1.45,64.26,4.90,61.02,15.20,12.82,13.98
TF,04/01/2018,1,1,0,0,79.20,1.47,65.59,1.42,63.95,4.84,60.65,15.56,12.93,13.98
TFPM,13/01/2018,1,1,0,0,79.23,27.76,66.43,23.29,65.98,5.08,57.60,21.10,12.84,14.01
TFPM,13/01/2018,1,0,0,1,78.70,17.40,66.40,14.71,65.05,5.34,56.30,20.42,14.2,14.01
WFF,19/01/2018,1,1,0,0,78.15,1.47,66.84,1.44,62.82,4.92,58.38,21.65,13.4,14.6
WFF,19/01/2018,1,1,0,0,78.27,1.45,66.86,1.46,63.57,4.98,59.51,20.91,13.69,14.6
WFP,09/01/2018,1,1,0,0,78.53,1.01,66.86,1.35,66.74,2.86,63.86,18.48,14.17,14.45
WFP,09/01/2018,1,1,0,0,78.84,1.38,66.80,1.09,67.46,3.38,64.50,15.73,14.2,14.45
WM,06/01/2018,1,1,0,0,78.53,1.53,65.62,1.36,63.33,4.65,59.90,16.23,13.41,13.98
WM,06/01/2018,1,1,0,0,78.17,1.48,66.15,1.40,62.67,4.79,59.24,16.61,13.33,13.98
YT,26/06/2018,0,1,0,0,79.78,1.38,65.71,1.10,72.24,3.10,71.19,12.68,13.42,15.26
YT,26/06/2018,0,0,0,1,79.33,11.53,66.22,9.70,70.97,2.61,78.88,12.43,12.8,15.26
YT,26/06/2018,0,0,0,1,79.34,11.27,66.18,9.47,70.99,2.61,78.68,12.35,13.25,15.26
YT,26/06/2018,0,0,0,1,79.32,11.01,66.16,9.26,70.94,2.62,78.71,12.19,12.93,15.26
YTMN,21/06/2018,1,1,0,0,80.59,1.36,65.36,1.29,72.31,2.98,74.95,9.25,14.58,14.48
YTMN,21/06/2018,1,1,0,0,80.42,1.28,65.53,1.29,72.13,2.88,76.62,11.36,14.55,14.48
YTMZ,11/01/2018,1,0,1,0,78.75,19.47,66.40,16.42,65.31,5.61,58.06,20.38,13.48,14.61
YTMZ,11/01/2018,1,0,1,0,78.72,18.69,66.47,15.79,65.20,5.52,58.47,20.31,13.54,14.61
YTMZ,11/01/2018,1,0,1,0,78.72,18.00,66.51,15.22,65.30,5.43,58.90,20.12,13.47,14.61
YTMZ,11/01/2018,1,0,1,0,78.75,17.39,66.52,14.71,65.42,5.35,59.18,19.98,13.82,14.61
BER,06/02/2018,1,1,0,0,78.56,1.51,65.78,1.05,69.60,3.77,70.76,18.60,13.9,15.22
CJQ,08/01/2018,1,1,0,0,78.51,1.29,66.67,1.26,65.98,4.10,61.95,16.45,13.2,14.24
CJQ,08/01/2018,1,1,0,0,78.74,1.50,66.37,1.32,66.90,4.45,63.07,15.96,12.89,14.24
CRK,04/01/2018,1,1,0,0,79.54,1.32,65.58,1.45,64.26,4.90,61.02,15.20,13.29,14.24
CTL,23/02/2018,1,1,0,0,76.80,0.73,65.75,1.51,67.44,4.96,48.36,21.32,13.08,15.04
CTM,17/07/2017,0,0,0,1,79.96,14.26,66.43,11.85,72.91,3.29,73.30,13.58,14.03,15.22
CTM,17/07/2017,0,0,0,1,80.02,13.97,66.41,11.59,72.95,3.27,73.23,13.66,13.81,15.22
CTM,17/07/2017,0,0,0,1,80.08,16.60,66.54,13.80,72.75,3.11,75.63,13.52,14.32,15.22
CTM,17/07/2017,0,0,0,1,80.06,16.36,66.54,13.60,72.70,3.11,75.89,13.57,14.25,15.22
DF,26/03/2018,1,1,0,0,78.98,1.50,66.74,1.65,72.61,4.08,49.45,18.95,13.28,14.01
DF,26/03/2018,1,1,0,0,79.45,1.62,66.76,1.57,73.44,3.92,51.46,18.16,13.78,14.01
DF,26/03/2018,1,1,0,0,79.85,1.65,66.68,1.46,74.21,3.90,54.74,18.19,14.43,14.01
DS,22/04/2017,0,1,0,0,81.67,0.93,69.62,39.68,76.11,3.28,52.19,19.73,13.54,14.95
DS,22/04/2017,0,1,0,0,81.55,1.01,68.37,34.44,75.77,3.53,51.80,18.36,13.55,14.95
DS,22/04/2017,0,0,0,1,80.72,14.43,53.85,14.07,73.80,4.08,70.06,17.48,14.71,14.95
DS,22/04/2017,0,0,0,1,80.82,15.14,53.97,13.99,73.77,4.08,70.13,17.43,13.56,14.95
SEL,05/03/2018,0,1,0,0,77.11,1.00,66.78,1.37,67.62,5.67,37.90,20.20,13.11,15.57
SEL,05/03/2018,0,1,0,0,77.13,1.00,66.68,1.45,67.85,5.55,38.64,19.53,13.32,15.57
